study,task,condA,condB,nA,nB,ncat,sim,focal_cat,focal_pp,p,stimA,stimB
zsekp,2,0,1,799,736,6,0.786,6,-7.49,2.055517401587853e-05,You were provided with the following school report card for Oak High School showing performance index ratings on a scale from 0 to 200: Academics: 164; Arts: 190; Citizenship and Community Responsibility: 190. You were t,"You were provided with the following school report card for Oak High School showing letter grades: Academics: B; Arts: A; Citizenship and Community Responsibility: A. You were then asked: ""Imagine the IDEAL high school f"
j38gd,0,0,1,1375,1226,4,0.893,1,-7.12,1.5133419429232198e-06,"You were asked: ""Do you favor or oppose increasing trade with other nations?"" Only return an integer from 1 to 4, nothing else. (1 corresponds to Very unwilling; 4 corresponds to Very willing)","You were asked: ""Do you favor or oppose increasing trade with other nations, or haven’t you thought much about this issue?"" Only return an integer from 1 to 4, nothing else. (1 corresponds to Very unwilling; 4 correspond"
4rqy5,0,0,1,1595,1608,5,0.89,2,7.05,1.8657092577514393e-11,You read “The current Congress is set to consider many important social and economic issues throughout the coming term.” and then were asked: “Congress can be trusted to make decisions that are right for citizens.” Only ,You read “The current Congress is now more racially diverse and has the most women in its history. Congress is set to consider many important social and economic issues throughout the coming term.” and then were asked: “
xykr7,1,0,3,1228,1220,5,0.634,1,-6.78,9.35616128432077e-05,"You were shown a classroom scenario: Jamal doesn’t have an IEP, and has never had any major behavior issues in your classroom. At the last parent teacher conference, you were glad to have the opportunity to discuss this ","You were shown a classroom scenario: Alejandra doesn’t have an IEP, and has never had any major behavior issues in your classroom. {#he_she4:b;u} often talks about [his/her] dad, who is in the military and stationed over"
sdq2z,0,0,1,6013,11930,7,0.971,1,6.64,6.552863145742907e-143,"Before reviewing any housing development proposals, you were asked: ""If more housing were built in your neighborhood, what percentage change would you expect in the price of housing in your neighborhood?"" Only return an ","After reviewing hypothetical housing development proposals, you were asked: ""If more housing were built in your neighborhood, what percentage change would you expect in the price of housing in your neighborhood?"" Only re"
nhgxf,1,1,2,421,390,7,0.888,1,-6.61,0.00022214905261640276,"You were asked to write in detail what makes you feel afraid, worried, or scared about the terrorist attacks. You were then asked: 'Hillary Clinton is honest. How much do you agree or disagree?' Only return an integer fr","You were asked to write in detail what makes you feel relaxed. You were then asked: 'Hillary Clinton is honest. How much do you agree or disagree?' Only return an integer from 1 to 7, where 1 = Strongly disagree and 7 = "
fxcn4,3,1,2,524,519,7,0.939,6,6.49,0.0008736284470657191,You viewed an image of a redacted workplace sexual harassment incident report stating that the claimant Michelle is an African American/Black transgender woman. I believe that this experience has caused Michelle harm. On,You viewed an image of a redacted workplace sexual harassment incident report stating that the claimant Michelle is a White cisgender woman. I believe that this experience has caused Michelle harm. Only return an integer
3bzxg,2,0,2,3290,1673,2,0.512,1,6.41,2.952365562608766e-07,You did not receive any warning and then were asked: “Have you or members of your immediate family ever received Unemployment insurance?Only return 1 for Yes or 2 for No.,"You read “Many of our participants have expressed interest in the results of our surveys. In order to provide you with this information, at the end of the survey you will be shown how your opinions on various topics comp"
v5u8r,3,0,2,764,876,5,0.769,5,6.4,2.6755988648856948e-05,"You read ""the control article about the Second Annual SciCon convention unrelated to politics"" and then were asked: ""How often do you believe Black people with lighter skin are given better employment opportunities in ou","You read ""the color-based threat-only news article about CSRP research on skin color–based disparities"" and then were asked: ""How often do you believe Black people with lighter skin are given better employment opportunit"
rdmus,1,1,4,702,657,5,0.925,4,6.11,0.0006911716702540194,"You read “July 10, 2011. Associated Press. CHICAGO, Illinois — FBI agents conducted raids Thursday on two homes in the Chicago area used by members of a group that federal agents describe as a ""violent extremist movement","You read “July 10, 2011. Associated Press. CHICAGO, Illinois — FBI agents conducted raids Thursday on two homes in the Chicago area used by members of the right-wing extremist group National Resistance Militia, which fed"
r5hwx,0,2,4,715,695,7,0.648,1,5.89,0.00023731005215820632,"You read “Civil war erupted in Macedonia, an economically poor country in Europe. The government has killed hundreds of innocent civilians who were trying to escape the war. The civilians killed were of Christian faith. ",You read “Civil war erupted in an economically poor foreign country. The government has killed hundreds of innocent civilians who were trying to escape the war. The civilians killed were of not involved in the fighting. 
5an26,0,0,3,726,761,9,0.951,9,5.37,3.114110239328682e-06,"You viewed a more attractive photo of Diane Williams, a 40-year-old professional woman. She has been working in her current position for six years. She hobbies include swimming and tennis. She also likes to spend time wi","You viewed a less attractive photo of David Williams, a 40-year-old professional man. He has been working in his current position for six years. He hobbies include swimming and tennis. He also likes to spend time with fa"
